ability,sys_gap_median,sys_gap_robust_std,obs_gap_median,obs_gap_robust_std
crossing_wide_delivery,-0.6538871855479158,5.047980130258535,-0.211578190118189,6.522547857506854
finishing_shot_threat,-0.6812119077000602,5.901894307287359,-0.38224801504052053,7.193051708214333
progressive_passing,-0.2505815623428589,5.986595773412462,-0.26674533031545167,8.24044014341119
chance_creation,-0.1361762044907877,5.219546702934713,0.0654375348048788,6.42237437774409
ball_retention_security,0.062169427619068074,3.9842856350609,-0.04876140534536333,5.63703978942057
build_up_involvement,-0.22831097649866905,5.72057206445742,-0.35439003798720137,8.362366946630573
long_distribution,-0.1514176556475917,4.846578816824442,0.14580232885494837,6.508571321758164
ball_carrying_dribbling,-0.26857361871084606,5.293332571382679,-0.06265203670468367,6.584683874851693
defensive_ball_winning,0.09677004774469111,7.176316712156513,0.15965142612617456,8.860690124419458
ground_duels_physical_contests,-0.05478315878770701,5.30715866550279,-0.1471442154247775,6.618419774215349
aerial_duels,-0.3236957392959283,5.78643503095923,-0.09841002482372829,7.2583497621771444
