url,status,elapsed_s,purpose
https://www.transfermarkt.us/kayne-ramsay/profil/spieler/530879,200,1.48,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Vanja%20Drkusic,200,1.48,search:Vanja Drkusic
https://www.transfermarkt.us/vanja-drkusic/profil/spieler/371856,200,1.57,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Elias%20Achouri,200,1.47,search:Elias Achouri
https://www.transfermarkt.us/elias-achouri/profil/spieler/645589,200,1.72,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Sergio%20Barcia,200,1.41,search:Sergio Barcia
https://www.transfermarkt.us/sergio-barcia/profil/spieler/562058,200,1.86,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Tiago%20Manso,200,1.58,search:Tiago Manso
https://www.transfermarkt.us/tiago-manso/profil/spieler/592498,200,1.67,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Steve%20Kingue,200,1.5,search:Steve Kingue
https://www.transfermarkt.us/steve-kingue/profil/spieler/604293,200,1.49,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Hasan%20Hilu,200,1.83,search:Hasan Hilu
https://www.transfermarkt.us/hasan-hilu/profil/spieler/518402,200,1.75,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Edgars%20Ivanovs,200,1.38,search:Edgars Ivanovs
https://www.transfermarkt.us/edgars-ivanovs/profil/spieler/603415,200,1.63,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=A%C3%ADlson%20Tavares,200,1.42,search:Aílson Tavares
https://www.transfermarkt.us/ailson-tavares/profil/spieler/486766,200,1.44,profile_verify
https://www.transfermarkt.us/jailson-tavares/profil/spieler/628158,200,1.39,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Nikola%20Bogdanovski,200,1.55,search:Nikola Bogdanovski
https://www.transfermarkt.us/nikola-bogdanovski/profil/spieler/497359,200,1.44,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Diego%20Villares,200,1.39,search:Diego Villares
https://www.transfermarkt.us/diego-villares/profil/spieler/590687,200,1.47,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Cebrail%20Makreckis,200,1.37,search:Cebrail Makreckis
https://www.transfermarkt.us/cebrail-makreckis/profil/spieler/363425,200,1.37,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Brendan%20Wiredu,200,1.52,search:Brendan Wiredu
https://www.transfermarkt.us/brendan-wiredu/profil/spieler/608180,200,1.42,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Jo%C3%A3o%20Batxi,200,1.5,search:João Batxi
https://www.transfermarkt.us/joao-batxi/profil/spieler/514256,200,1.4,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Ross%20Graham,200,2.09,search:Ross Graham
https://www.transfermarkt.us/ross-graham/profil/spieler/396563,200,1.44,profile_verify
https://www.transfermarkt.us/ross-graham/profil/spieler/200840,200,1.37,profile_verify
https://www.transfermarkt.us/ross-graham/profil/spieler/1299235,200,1.47,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Scott%20Banks,200,1.4,search:Scott Banks
https://www.transfermarkt.us/scott-banks/profil/spieler/596821,200,1.38,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Leonardo%20Lelo,200,1.45,search:Leonardo Lelo
https://www.transfermarkt.us/leonardo-lelo/profil/spieler/669956,200,1.42,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Ayase%20Ueda,200,1.49,search:Ayase Ueda
https://www.transfermarkt.us/ayase-ueda/profil/spieler/589128,200,1.41,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Alaa%20Bakir,200,1.44,search:Alaa Bakir
https://www.transfermarkt.us/alaa-bakir/profil/spieler/386109,200,1.65,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Abdoulaye%20Sylla,200,1.48,search:Abdoulaye Sylla
https://www.transfermarkt.us/abdoulaye-sylla/profil/spieler/807648,200,1.48,profile_verify
https://www.transfermarkt.us/abdoulaye-sylla/profil/spieler/220888,200,2.71,profile_verify
https://www.transfermarkt.us/abdoulaye-sylla/profil/spieler/225621,200,1.45,profile_verify
https://www.transfermarkt.us/schnellsuche/ergebnis/schnellsuche?query=Adem%20Zorgane,200,1.51,search:Adem Zorgane
https://www.transfermarkt.us/adem-zorgane/profil/spieler/592403,200,1.54,profile_verify
